,paul15_clusters,paul15_label,celltype,sc3s_labels
2382,9GMP,GMP,GMP,1
2383,3Ery,Ery,Ery,6
2384,8Mk,Mk,Mk,1
2385,8Mk,Mk,Mk,1
2386,15Mo,Mo,Mo,3
2387,2Ery,Ery,Ery,5
2388,12Baso,Baso,Baso,1
2389,3Ery,Ery,Ery,7
2390,15Mo,Mo,Mo,3
2391,15Mo,Mo,Mo,3
2392,9GMP,GMP,GMP,1
2393,3Ery,Ery,Ery,6
2394,10GMP,GMP,GMP,1
2395,15Mo,Mo,Mo,3
2396,16Neu,Neu,Neu,3
2397,4Ery,Ery,Ery,8
2398,3Ery,Ery,Ery,7
2399,14Mo,Mo,Mo,2
2400,3Ery,Ery,Ery,8
2401,16Neu,Neu,Neu,3
2402,6Ery,Ery,Ery,7
2403,5Ery,Ery,Ery,0
2404,13Baso,Baso,Baso,1
2405,13Baso,Baso,Baso,2
2406,11DC,DC,DC,2
2407,13Baso,Baso,Baso,2
2408,8Mk,Mk,Mk,1
2409,2Ery,Ery,Ery,9
2410,13Baso,Baso,Baso,2
2411,13Baso,Baso,Baso,3
2412,8Mk,Mk,Mk,4
2413,8Mk,Mk,Mk,1
2414,15Mo,Mo,Mo,3
2415,14Mo,Mo,Mo,2
2416,14Mo,Mo,Mo,1
2417,19Lymph,Lymph,Lymph,1
2418,6Ery,Ery,Ery,4
2419,5Ery,Ery,Ery,0
2420,15Mo,Mo,Mo,3
2421,7MEP,MEP,MEP,4
2422,15Mo,Mo,Mo,3
2423,15Mo,Mo,Mo,3
2424,6Ery,Ery,Ery,7
2425,12Baso,Baso,Baso,1
2426,2Ery,Ery,Ery,5
2427,13Baso,Baso,Baso,2
2428,3Ery,Ery,Ery,4
2429,4Ery,Ery,Ery,8
2430,14Mo,Mo,Mo,3
2431,10GMP,GMP,GMP,1
2432,16Neu,Neu,Neu,3
2433,15Mo,Mo,Mo,3
2434,6Ery,Ery,Ery,4
2435,13Baso,Baso,Baso,2
2436,19Lymph,Lymph,Lymph,1
2437,15Mo,Mo,Mo,3
2438,6Ery,Ery,Ery,4
2439,2Ery,Ery,Ery,5
2440,15Mo,Mo,Mo,3
2441,3Ery,Ery,Ery,8
2442,13Baso,Baso,Baso,1
2443,6Ery,Ery,Ery,4
2444,13Baso,Baso,Baso,2
2445,9GMP,GMP,GMP,1
2446,10GMP,GMP,GMP,1
2447,10GMP,GMP,GMP,1
2448,14Mo,Mo,Mo,2
2449,2Ery,Ery,Ery,5
2450,6Ery,Ery,Ery,4
2451,10GMP,GMP,GMP,1
2452,7MEP,MEP,MEP,4
2453,6Ery,Ery,Ery,4
2454,14Mo,Mo,Mo,2
2455,2Ery,Ery,Ery,6
2456,2Ery,Ery,Ery,5
2457,7MEP,MEP,MEP,4
2458,5Ery,Ery,Ery,9
2459,13Baso,Baso,Baso,2
2460,13Baso,Baso,Baso,2
2461,14Mo,Mo,Mo,2
2462,3Ery,Ery,Ery,5
2463,13Baso,Baso,Baso,2
2464,4Ery,Ery,Ery,8
2465,3Ery,Ery,Ery,6
2466,2Ery,Ery,Ery,5
2467,15Mo,Mo,Mo,3
2468,7MEP,MEP,MEP,4
2469,1Ery,Ery,Ery,5
2470,15Mo,Mo,Mo,3
2471,2Ery,Ery,Ery,5
2472,13Baso,Baso,Baso,2
2473,8Mk,Mk,Mk,1
2474,9GMP,GMP,GMP,1
2475,19Lymph,Lymph,Lymph,1
2476,11DC,DC,DC,2
2477,8Mk,Mk,Mk,1
2478,17Neu,Neu,Neu,1
2479,13Baso,Baso,Baso,2
2480,13Baso,Baso,Baso,1
2481,13Baso,Baso,Baso,1
2482,3Ery,Ery,Ery,8
2483,12Baso,Baso,Baso,4
2484,16Neu,Neu,Neu,3
2485,10GMP,GMP,GMP,1
2486,15Mo,Mo,Mo,3
2487,7MEP,MEP,MEP,4
2488,13Baso,Baso,Baso,3
2489,13Baso,Baso,Baso,2
2490,14Mo,Mo,Mo,3
2491,16Neu,Neu,Neu,3
2492,3Ery,Ery,Ery,8
2493,7MEP,MEP,MEP,4
2494,13Baso,Baso,Baso,2
2495,13Baso,Baso,Baso,2
2496,3Ery,Ery,Ery,8
2497,1Ery,Ery,Ery,5
2498,14Mo,Mo,Mo,2
2499,15Mo,Mo,Mo,3
2500,10GMP,GMP,GMP,1
2501,15Mo,Mo,Mo,3
2502,4Ery,Ery,Ery,8
2503,9GMP,GMP,GMP,1
2504,14Mo,Mo,Mo,3
2505,9GMP,GMP,GMP,1
2506,13Baso,Baso,Baso,1
2507,10GMP,GMP,GMP,1
2508,9GMP,GMP,GMP,1
2509,5Ery,Ery,Ery,0
2510,2Ery,Ery,Ery,5
2511,7MEP,MEP,MEP,4
2512,13Baso,Baso,Baso,2
2513,6Ery,Ery,Ery,4
2514,7MEP,MEP,MEP,4
2515,10GMP,GMP,GMP,1
2516,7MEP,MEP,MEP,4
2517,10GMP,GMP,GMP,1
2518,3Ery,Ery,Ery,9
2519,5Ery,Ery,Ery,8
2520,10GMP,GMP,GMP,1
2521,6Ery,Ery,Ery,4
2522,19Lymph,Lymph,Lymph,1
2523,8Mk,Mk,Mk,1
2524,4Ery,Ery,Ery,9
2525,14Mo,Mo,Mo,2
2526,16Neu,Neu,Neu,3
2527,14Mo,Mo,Mo,2
2528,10GMP,GMP,GMP,1
2529,10GMP,GMP,GMP,1
2530,13Baso,Baso,Baso,2
2531,7MEP,MEP,MEP,4
2532,15Mo,Mo,Mo,3
2533,10GMP,GMP,GMP,1
2534,15Mo,Mo,Mo,3
2535,15Mo,Mo,Mo,3
2536,14Mo,Mo,Mo,3
2537,5Ery,Ery,Ery,7
2538,13Baso,Baso,Baso,2
2539,9GMP,GMP,GMP,1
2540,7MEP,MEP,MEP,4
2541,14Mo,Mo,Mo,3
2542,6Ery,Ery,Ery,7
2543,2Ery,Ery,Ery,5
2544,8Mk,Mk,Mk,1
2545,7MEP,MEP,MEP,4
2546,5Ery,Ery,Ery,9
2547,7MEP,MEP,MEP,4
2548,13Baso,Baso,Baso,2
2549,7MEP,MEP,MEP,4
2550,5Ery,Ery,Ery,9
2551,8Mk,Mk,Mk,1
2552,2Ery,Ery,Ery,5
2553,2Ery,Ery,Ery,5
2554,4Ery,Ery,Ery,8
2555,14Mo,Mo,Mo,2
2556,15Mo,Mo,Mo,3
2557,13Baso,Baso,Baso,2
2558,3Ery,Ery,Ery,6
2559,2Ery,Ery,Ery,6
2560,5Ery,Ery,Ery,4
2561,13Baso,Baso,Baso,2
2562,3Ery,Ery,Ery,9
2563,6Ery,Ery,Ery,4
2564,8Mk,Mk,Mk,1
2565,6Ery,Ery,Ery,4
2566,15Mo,Mo,Mo,3
2567,2Ery,Ery,Ery,6
2568,5Ery,Ery,Ery,0
2569,6Ery,Ery,Ery,4
2570,9GMP,GMP,GMP,1
2571,8Mk,Mk,Mk,1
2572,15Mo,Mo,Mo,3
2573,13Baso,Baso,Baso,2
2574,10GMP,GMP,GMP,1
2575,15Mo,Mo,Mo,3
2576,15Mo,Mo,Mo,3
2577,2Ery,Ery,Ery,5
2578,13Baso,Baso,Baso,2
2579,14Mo,Mo,Mo,2
2580,9GMP,GMP,GMP,1
2581,2Ery,Ery,Ery,5
2582,3Ery,Ery,Ery,8
2583,17Neu,Neu,Neu,1
2584,16Neu,Neu,Neu,3
2585,13Baso,Baso,Baso,2
2586,6Ery,Ery,Ery,0
2587,13Baso,Baso,Baso,2
2588,10GMP,GMP,GMP,1
2589,13Baso,Baso,Baso,2
2590,13Baso,Baso,Baso,2
2591,2Ery,Ery,Ery,9
2592,6Ery,Ery,Ery,4
2593,15Mo,Mo,Mo,3
2594,14Mo,Mo,Mo,3
2595,14Mo,Mo,Mo,2
2596,13Baso,Baso,Baso,2
2597,14Mo,Mo,Mo,2
2598,6Ery,Ery,Ery,7
2599,13Baso,Baso,Baso,2
2600,17Neu,Neu,Neu,4
2601,2Ery,Ery,Ery,9
2602,6Ery,Ery,Ery,4
2603,7MEP,MEP,MEP,4
2604,10GMP,GMP,GMP,1
2605,10GMP,GMP,GMP,1
2606,6Ery,Ery,Ery,4
2607,15Mo,Mo,Mo,3
2608,15Mo,Mo,Mo,3
2609,6Ery,Ery,Ery,4
2610,4Ery,Ery,Ery,9
2611,8Mk,Mk,Mk,1
2612,6Ery,Ery,Ery,4
2613,13Baso,Baso,Baso,2
2614,13Baso,Baso,Baso,1
2615,5Ery,Ery,Ery,0
2616,10GMP,GMP,GMP,1
2617,10GMP,GMP,GMP,4
2618,10GMP,GMP,GMP,1
2619,2Ery,Ery,Ery,9
2620,11DC,DC,DC,2
2621,16Neu,Neu,Neu,3
2622,14Mo,Mo,Mo,3
2623,5Ery,Ery,Ery,0
2624,10GMP,GMP,GMP,1
2625,6Ery,Ery,Ery,7
2626,2Ery,Ery,Ery,6
2627,10GMP,GMP,GMP,2
2628,15Mo,Mo,Mo,3
2629,16Neu,Neu,Neu,3
2630,6Ery,Ery,Ery,7
2631,19Lymph,Lymph,Lymph,1
2632,10GMP,GMP,GMP,1
2633,15Mo,Mo,Mo,3
2634,13Baso,Baso,Baso,2
2635,5Ery,Ery,Ery,7
2636,7MEP,MEP,MEP,4
2637,4Ery,Ery,Ery,9
2638,7MEP,MEP,MEP,4
2639,3Ery,Ery,Ery,7
2640,19Lymph,Lymph,Lymph,1
2641,13Baso,Baso,Baso,3
2642,13Baso,Baso,Baso,2
2643,13Baso,Baso,Baso,1
2644,3Ery,Ery,Ery,9
2645,1Ery,Ery,Ery,5
2646,15Mo,Mo,Mo,3
2647,8Mk,Mk,Mk,4
2648,7MEP,MEP,MEP,4
2649,7MEP,MEP,MEP,4
2650,13Baso,Baso,Baso,1
2651,13Baso,Baso,Baso,2
2652,5Ery,Ery,Ery,9
2653,6Ery,Ery,Ery,4
2654,15Mo,Mo,Mo,3
2655,13Baso,Baso,Baso,2
2656,14Mo,Mo,Mo,2
2657,10GMP,GMP,GMP,4
2658,13Baso,Baso,Baso,2
2659,7MEP,MEP,MEP,4
2660,15Mo,Mo,Mo,3
2661,8Mk,Mk,Mk,1
2662,9GMP,GMP,GMP,1
2663,4Ery,Ery,Ery,0
2664,17Neu,Neu,Neu,1
2665,2Ery,Ery,Ery,5
2666,14Mo,Mo,Mo,2
2667,15Mo,Mo,Mo,3
2668,14Mo,Mo,Mo,3
2669,6Ery,Ery,Ery,7
2670,6Ery,Ery,Ery,4
2671,10GMP,GMP,GMP,1
2672,6Ery,Ery,Ery,4
2673,13Baso,Baso,Baso,2
2674,6Ery,Ery,Ery,4
2675,12Baso,Baso,Baso,1
2676,3Ery,Ery,Ery,8
2677,13Baso,Baso,Baso,2
2678,13Baso,Baso,Baso,2
2679,16Neu,Neu,Neu,3
2680,10GMP,GMP,GMP,2
2681,16Neu,Neu,Neu,3
2682,13Baso,Baso,Baso,2
2683,5Ery,Ery,Ery,9
2684,2Ery,Ery,Ery,5
2685,9GMP,GMP,GMP,1
2686,16Neu,Neu,Neu,3
2687,8Mk,Mk,Mk,4
2688,11DC,DC,DC,2
2689,13Baso,Baso,Baso,2
2690,10GMP,GMP,GMP,1
2691,5Ery,Ery,Ery,7
2692,15Mo,Mo,Mo,3
2693,13Baso,Baso,Baso,2
2694,9GMP,GMP,GMP,1
2695,14Mo,Mo,Mo,3
2696,13Baso,Baso,Baso,1
2697,14Mo,Mo,Mo,2
2698,15Mo,Mo,Mo,3
2699,15Mo,Mo,Mo,3
2700,10GMP,GMP,GMP,1
2701,15Mo,Mo,Mo,3
2702,16Neu,Neu,Neu,3
2703,6Ery,Ery,Ery,4
2704,2Ery,Ery,Ery,9
2705,13Baso,Baso,Baso,2
2706,5Ery,Ery,Ery,4
2707,7MEP,MEP,MEP,4
2708,19Lymph,Lymph,Lymph,1
2709,6Ery,Ery,Ery,4
2710,13Baso,Baso,Baso,2
2711,2Ery,Ery,Ery,5
2712,11DC,DC,DC,2
2713,7MEP,MEP,MEP,4
2714,13Baso,Baso,Baso,2
2715,2Ery,Ery,Ery,9
2716,14Mo,Mo,Mo,2
2717,13Baso,Baso,Baso,2
2718,8Mk,Mk,Mk,1
2719,13Baso,Baso,Baso,3
2720,7MEP,MEP,MEP,4
2721,10GMP,GMP,GMP,1
2722,10GMP,GMP,GMP,1
2723,14Mo,Mo,Mo,3
2724,16Neu,Neu,Neu,3
2725,2Ery,Ery,Ery,9
2726,13Baso,Baso,Baso,2
2727,7MEP,MEP,MEP,4
2728,15Mo,Mo,Mo,3
2729,3Ery,Ery,Ery,8
